time,price,mean,min,max,sd
2019-7-7 02:35:58,1304302,1304357,1304302,1304371,27
2019-7-7 02:35:59,1304302,1304343,1304302,1304371,33
2019-7-7 02:36:00,1304303,1304329,1304302,1304371,33
2019-7-7 02:36:01,1304302,1304316,1304302,1304371,27
2019-7-7 02:36:01,1304249,1304291,1304249,1304303,21
2019-7-7 02:36:02,1304117,1304254,1304117,1304303,71
2019-7-7 02:36:03,1304028,1304199,1304028,1304303,109
2019-7-7 02:36:04,1304028,1304144,1304028,1304302,112
2019-7-7 02:36:05,1304028,1304090,1304028,1304249,86
2019-7-7 02:36:06,1304302,1304100,1304028,1304302,106
2019-7-7 02:36:07,1304248,1304126,1304028,1304302,122
2019-7-7 02:36:08,1304302,1304181,1304028,1304302,126
2019-7-7 02:36:08,1304423,1304260,1304028,1304423,129
2019-7-7 02:36:09,1304423,1304339,1304248,1304423,70
2019-7-7 02:36:10,1304424,1304364,1304248,1304424,74
2019-7-7 02:36:11,1304253,1304365,1304253,1304424,73
2019-7-7 02:36:12,1304069,1304318,1304069,1304424,141
2019-7-7 02:36:13,1304314,1304296,1304069,1304424,131
2019-7-7 02:36:14,1304093,1304230,1304069,1304424,134
2019-7-7 02:36:15,1303996,1304145,1303996,1304314,119
2019-7-7 02:36:16,1303904,1304075,1303904,1304314,136
2019-7-7 02:36:17,1303478,1303957,1303478,1304314,275
2019-7-7 02:36:18,1303316,1303757,1303316,1304093,304
2019-7-7 02:36:18,1303467,1303632,1303316,1303996,267
2019-7-7 02:36:19,1303334,1303499,1303316,1303904,212
2019-7-7 02:36:20,1303501,1303419,1303316,1303501,77
2019-7-7 02:36:21,1303241,1303371,1303241,1303501,97
2019-7-7 02:36:22,1303485,1303405,1303241,1303501,101
2019-7-7 02:36:23,1303485,1303409,1303241,1303501,103
2019-7-7 02:36:24,1303209,1303384,1303209,1303501,130
2019-7-7 02:36:25,1303215,1303327,1303209,1303485,129
2019-7-7 02:36:26,1303181,1303315,1303181,1303485,139
2019-7-7 02:36:27,1303181,1303254,1303181,1303485,116
2019-7-7 02:36:27,1303181,1303193,1303181,1303215,15
2019-7-7 02:36:28,1303181,1303187,1303181,1303215,13
2019-7-7 02:36:29,1303114,1303167,1303114,1303181,26
2019-7-7 02:36:30,1302956,1303122,1302956,1303181,87
2019-7-7 02:36:31,1302899,1303066,1302899,1303181,117
2019-7-7 02:36:32,1302521,1302934,1302521,1303181,230
2019-7-7 02:36:33,1302510,1302800,1302510,1303114,242
2019-7-7 02:36:34,1302683,1302713,1302510,1302956,185
2019-7-7 02:36:34,1302683,1302659,1302510,1302899,141
2019-7-7 02:36:35,1302886,1302656,1302510,1302886,137
2019-7-7 02:36:36,1302357,1302623,1302357,1302886,178
2019-7-7 02:36:37,1302370,1302595,1302357,1302886,203
2019-7-7 02:36:38,1302425,1302544,1302357,1302886,207
2019-7-7 02:36:39,1302058,1302419,1302058,1302886,266
2019-7-7 02:36:40,1302037,1302249,1302037,1302425,166
2019-7-7 02:36:40,1302766,1302331,1302037,1302766,268
2019-7-7 02:36:41,1302267,1302310,1302037,1302766,268
2019-7-7 02:36:42,1302600,1302345,1302037,1302766,291
2019-7-7 02:36:43,1302557,1302445,1302037,1302766,259
2019-7-7 02:36:44,1302557,1302549,1302267,1302766,160
2019-7-7 02:36:45,1302557,1302507,1302267,1302600,121
2019-7-7 02:36:45,1302630,1302580,1302557,1302630,29
2019-7-7 02:36:46,1302858,1302631,1302557,1302858,116
2019-7-7 02:36:47,1302933,1302707,1302557,1302933,157
2019-7-7 02:36:48,1302842,1302764,1302557,1302933,144
2019-7-7 02:36:49,1302935,1302839,1302630,1302935,111
2019-7-7 02:36:50,1302632,1302840,1302632,1302935,110
2019-7-7 02:36:51,1302866,1302841,1302632,1302935,111
2019-7-7 02:36:52,1302629,1302780,1302629,1302935,126
2019-7-7 02:36:53,1302626,1302737,1302626,1302935,134
